Analyte,Fold Change (Positive/Negative),p-value,Positive Median,Negative Median,log2 Fold Change,#NAME?,Statistical test
ARL11.12433.8,0.778929997,0.000268132,11.97605558,12.33649,-0.360434416,3.571651899,Linear Model
STC1.4930.21,1.352766748,0.000269653,10.56025934,10.12434623,0.435913103,3.569194907,Linear Model
LECT2.16763.11,0.624863493,0.00028051,12.92872585,13.60711289,-0.67838704,3.552051878,Linear Model
JAM2.2997.8,0.833144155,0.000281166,12.41403499,12.67739695,-0.263361954,3.551037001,Linear Model
RBBP4.15331.47,1.565827708,0.000281953,11.77048216,11.12355668,0.646925478,3.549823747,Linear Model
BCAR3.5262.57,1.158333055,0.00030274,10.92317429,10.71112416,0.21205013,3.518929722,Linear Model
CELF2.7245.2,1.630039741,0.000304766,11.32218628,10.61727915,0.704907139,3.516033869,Linear Model
ERBB2.2616.23,1.156557193,0.000308122,8.883058352,8.673221742,0.20983661,3.511277831,Linear Model
KRT20.12975.11,0.72755187,0.000314339,8.804591312,9.263469299,-0.458877987,3.502601099,Linear Model
COMP.8043.153,0.678614443,0.000316624,7.405219216,7.964555176,-0.55933596,3.499455528,Linear Model
DEPP.7178.59,0.609061111,0.000321083,11.52023266,12.23557376,-0.715341104,3.493383,Linear Model
SUMF1.6941.11,0.766031926,0.000326136,10.21963181,10.60415538,-0.384523575,3.486601672,Linear Model
DDR2.15381.45,0.708755182,0.000330324,8.633779612,9.130420329,-0.496640718,3.481060022,Linear Model
HIST2H2BE.14143.8,1.88664976,0.000333564,14.30121414,13.38538751,0.915826624,3.476820738,Linear Model
MDGA2.19372.7,0.682098823,0.000335631,10.61304186,11.16498918,-0.551947321,3.47413737,Linear Model
COL11A2.11278.4,0.572767652,0.000336994,12.85882974,13.66280782,-0.803978079,3.472377221,Linear Model
IL11RA.18216.22,0.802359371,0.000338505,10.2655512,10.58323074,-0.317679541,3.470434727,Linear Model
ACVRL1.16318.12,0.812537464,0.000340195,8.311707064,8.611200826,-0.299493762,3.468272458,Linear Model
B4GALT6.10832.24,0.747249942,0.000349947,9.534792523,9.955129738,-0.420337215,3.455997527,Linear Model
PDGFRL.9713.67,0.726285872,0.000353159,12.16338577,12.62477635,-0.461390579,3.452029247,Linear Model
PAPLN.11254.13,1.132979288,0.000357414,9.67177006,9.491648573,0.180121487,3.446828934,Linear Model
GSTT1.19230.12,1.172985038,0.000360886,8.690807753,8.460623142,0.230184611,3.442630338,Linear Model
MYCT1.13541.1,1.144969203,0.000369067,9.940972503,9.745663709,0.195308794,3.432894698,Linear Model
MAMDC2.6119.14,1.15596816,0.000371002,9.627404537,9.418302876,0.209101661,3.430623182,Linear Model
PAPPA.4148.49,0.661891107,0.00037156,13.23890396,13.83423817,-0.595334208,3.429971225,Linear Model
SLITRK5.4568.17,0.731325617,0.000376666,10.32537208,10.77678628,-0.451414198,3.424044112,Linear Model
ITM2B.8086.49,1.18387132,0.000378182,11.43749635,11.19398407,0.243512276,3.422299178,Linear Model
NUCB1.10451.11,1.538038881,0.000381871,12.16958117,11.54848919,0.621091975,3.418083696,Linear Model
CNTN4.3298.52,0.758501586,0.00038549,11.96434424,12.36312014,-0.398775897,3.413987058,Linear Model
LILRB3.11334.7,1.147496692,0.000386778,9.028668831,8.830178836,0.198489994,3.412538118,Linear Model
EVPL.14019.73,1.148582486,0.000390478,10.14870618,9.948851714,0.199854469,3.408403083,Linear Model
ALB.18380.78,0.879289525,0.000397713,16.55343506,16.73902487,-0.185589813,3.400429765,Linear Model
