"","x"
"336","ANGPTL3"
"337","SFTPB"
"338","HRNR"
"339","QPCT"
"340","CA3"
"341","DSP"
"342","CNDP1"
"343","RPL23A"
"344","THBS1"
"345","ATP6V1A"
"346","LAMB2"
"347","PSMA3"
"348","UMOD"
"349","RPL10A"
"350","TPM1"
"351","WDR1"
"352","VCP"
"353","UBE2N"
"354","APEH"
"355","CILP2"
"356","FAH"
"357","HSPA6"
"358","ORM2"
"359","RPS12"
"360","QSOX1"
"361","FLNA"
"362","IGHV3-72"
"363","IGFBP6"
"364","MB"
"365","PROC"
"366","ANTXR2"
"367","IGHA2"
"368","IGFBP7"
"369","MTHFD1"
"370","NAP1L1"
"371","MANBA"
"372","FTL"
"373","GNPTG"
"374","VMO1"
"375","MMRN2"
"376","PLS3"
"377","IGHV3-38"
"378","CORO1C"
"379","CTSL"
"380","PGAM1"
"381","ACTBL2"
"382","FCGR3B"
"383","HLA-C"
"384","ADIPOQ"
"385","MAN2A1"
"386","FKBP1A"
"387","MCAM"
"388","SELL"
"389","SRGN"
"390","LGALSL"
"391","ANPEP"
"392","CETP"
"393","PNLIP"
"394","NCAM1"
"395","ENO2"
"396","CTSD"
"397","PKM"
"398","YWHAQ"
"399","IGLV1-40"
"400","PGD"
"401","ALDOC"
"402","IGHV3-20"
"403","FLNB"
"404","GALNT2"
"405","IGFBP4"
"406","PAPLN"
"407","PCCA"
"408","IGF2"
"409","HSPA4"
"410","CYCS"
"411","FCRL5"
"412","PTBP1"
"413","PTPRJ"
"414","NCAM2"
"415","INF2"
"416","SOD1"
"417","MASP1"
"418","STOM"
"419","KRT6B"
"420","PSAP"
"421","LTBP1"
"422","IGHV4-4"
"423","ANXA1"
"424","TFRC"
"425","PCSK9"
"426","IGKV1-5"
"427","DPEP2"
"428","HLA-B"
"429","RNH1"
"430","PAM"
"431","CAT"
"432","S100A8"
"433","PGM1"
"434","B2M"
"435","RPIA"
"436","DCD"
"437","MTPN"
"438","PECAM1"
"439","GOT1"
"440","IGKV1D-8"
"441","IGF2R"
"442","CALU"
"443","BLVRB"
"444","ENG"
"445","YWHAG"
"446","CAND1"
"447","FBLN1"
"448","AFM"
"449","PEPD"
"450","RAN"
"451","PLEC"
"452","IGLL1"
"453","PROZ"
"454","CTSZ"
"455","BLMH"
"456","TNXB"
"457","CAPZA1"
"458","RPLP0"
"459","IGLV3-10"
"460","ENTPD5"
"461","ORM1"
"462","PTPRG"
"463","TPM2"
"464","KRT8"
"465","GARS1"
"466","INPP5D"
"467","GP5"
"468","S100A12"
"469","HMCN1"
