"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"PSMB4",0.524172657002276,0.0238460497723755,3.4627054830734,0.00195155998127464,0.0131508530556348,-1.5648303434486,"PSMB4"
"ITGB5",-0.395846800400969,0.0106197045959084,-3.46067762852064,0.00196146280269502,0.0131677068905451,-1.56960254630532,"ITGB5"
"HGFAC",-0.416574614757238,0.0537792885129014,-3.45629831337903,0.00198301585150998,0.0132361091331977,-1.57990536158317,"HGFAC"
"SERPING1",0.34474671399918,0.0439020579061124,3.4555881916637,0.00198653239941752,0.0132361091331977,-1.58157559464378,"SERPING1"
"GSS",0.341665389906864,0.0190159041637747,3.45371560881816,0.00199583461550706,0.0132484693320413,-1.58597943620855,"GSS"
"PSMB5",0.616663450878477,-0.0724270761020528,3.44835395411979,0.00202270407824759,0.0133769165620909,-1.59858431912329,"PSMB5"
"YWHAG",0.558616044334644,0.0147317644604888,3.43660982832204,0.00208279383979533,0.0137232971888737,-1.62617115826581,"YWHAG"
"GLOD4",0.420205461059688,0.0531284685906832,3.4214608175906,0.00216287312479194,0.0141983442398703,-1.66170931564692,"GLOD4"
"ILF3",0.505180715345628,0.0532635155438734,3.41811136753208,0.00218097846651445,0.0142645613673868,-1.66955963448985,"ILF3"
"C19orf18",-0.593925439359502,0.0641857022402304,-3.57162424564419,0.00347789936979581,0.019830714675855,-1.69440952557605,"C19orf18"
"CTSB",-0.4445864003934,-0.0250549140148155,-3.40639966677367,0.00224545064762649,0.0146280614646572,-1.69698845860738,"CTSB"
"KIT",-0.546835809478166,0.0305379509931614,-3.40504952704024,0.00225300103502871,0.0146280614646572,-1.70014841445328,"KIT"
"UGP2",0.708375186495136,-0.0185796277588023,3.40328689086783,0.00226289534422914,0.0146388756995768,-1.70427315579726,"UGP2"
"CYP27C1",-0.535685048574529,0.0690331733388755,-3.56579596646794,0.00351666199096092,0.0199240180952849,-1.70477586983647,"CYP27C1"
"PTPRZ1",-0.413901754781969,0.0465060810190145,-3.39789505520528,0.00229342433230829,0.014782615533248,-1.71688600895293,"PTPRZ1"
"NADK",0.605367620255279,0.102449296164745,3.55837713172607,0.00356663821940707,0.0200159286824138,-1.71797302550276,"NADK"
"GAPDH",0.591116662563559,-0.0707753012454024,3.3741106537159,0.00243293292512447,0.0156252262591929,-1.77244063597041,"GAPDH"
"MAT2B",0.727380835719683,-0.0330718778348372,3.52481314493624,0.00380190151921408,0.0208283891490056,-1.77770267676883,"MAT2B"
"PIKFYVE",1.08430762364493,0.188433731485601,3.52216865437649,0.00382109375641537,0.0208519196093955,-1.78241028558884,"PIKFYVE"
"PPIC",-0.654617927508569,0.083196779204664,-3.51983567557071,0.00383810674833384,0.0208807091904768,-1.78656352953581,"PPIC"
"CALU",-0.39618570647916,0.00334920264828909,-3.36752104093184,0.00247301930736442,0.0158255444165515,-1.78780815629876,"CALU"
"GALNT5",-0.63291013719297,0.0558581361195396,-3.51637898791093,0.00386345554360906,0.0209545347929284,-1.79271753338128,"GALNT5"
"DENND4C",0.893499947904209,1.2453060910171,3.51462442861499,0.00387638704637769,0.0209607676459146,-1.79584134117959,"DENND4C"
"GHR",-0.698824133358392,0.0339546157530496,-3.36226172260241,0.00250547214754527,0.0158987650292532,-1.80006569193762,"GHR"
"C5",0.362347139206103,0.120191151965415,3.36132875240176,0.00251127204790341,0.0158987650292532,-1.80223939209902,"C5"
"HSP90AA1",0.494364752379049,0.0012201069202952,3.3579295684352,0.00253251373854477,0.0159353235445889,-1.81015723670964,"HSP90AA1"
"PPP1R9B",0.56078077898631,-0.0835152721116526,3.506317693602,0.00393820761065682,0.0211369822398719,-1.81063180228865,"PPP1R9B"
"HTT",0.56121459490167,-0.0964963254621555,3.50546371132758,0.00394461950738475,0.0211369822398719,-1.81215246022695,"HTT"
"NCAM1",-0.373640585936865,0.0433217319041173,-3.35396883640669,0.00255748437122449,0.0159353235445889,-1.81937951297709,"NCAM1"
"ADSS2",0.617604421858542,-0.00763947458758014,3.35331768660152,0.0025616123593784,0.0159353235445889,-1.82089529580713,"ADSS2"
"RASGRP2",0.506913012926934,-0.133175802135474,3.49095278509093,0.00405520209012418,0.021460589834498,-1.83799457222978,"RASGRP2"
"THBS1",-0.538545896364266,-0.0558479202210755,-3.34517661208106,0.00261377132362238,0.0162017393195965,-1.83983763848162,"THBS1"
"OBSCN",-2.02036623101908,-0.627977846476192,-3.48811158910566,0.00407721875385953,0.021460589834498,-1.84305501714938,"OBSCN"
"PKDCC",-0.3227888558549,0.0484584006356669,-3.34151810250378,0.0026375448396402,0.0162923342698608,-1.84834472817877,"PKDCC"
"CHGA",-0.516955618442063,-0.0256734672598255,-3.33756949279431,0.00266343856644727,0.0163953536668155,-1.85752261456346,"CHGA"
"TGFBR3",-0.355665042659215,0.124205985595095,-3.33577642636093,0.00267527808323259,0.0164114472761062,-1.86168900335099,"TGFBR3"
"WBP2",0.679146094860881,-0.187085983551607,3.46658753284547,0.00424799038030017,0.0220970025922632,-1.88139767201049,"WBP2"
"BGN",0.456509853460165,-0.00376470719365233,3.32412886351996,0.00275343683057218,0.016717966285283,-1.88873359657286,"BGN"
"C4BPA",0.295971449465279,0.0324776121969675,3.31480147590788,0.00281761659871324,0.0170494555411934,-1.91036601886649,"C4BPA"
"NECTIN2",-0.606795123298108,-0.0271894205633689,-3.44609266655397,0.0044173227696164,0.0226467354672841,-1.91791612631492,"NECTIN2"
"PPP1R14A",0.782612476515179,-0.0833074681015086,3.30956744835132,0.00285426270565637,0.0172126554351277,-1.92249517775755,"PPP1R14A"
"IL1RAP",-0.46694429275889,0.0129464991564266,-3.30377374922495,0.00289536529440259,0.0173807652921973,-1.93591304124737,"IL1RAP"
"SNX6",0.817048058080505,-0.040509015051282,3.30244951354534,0.00290484000532032,0.0173807652921973,-1.93897866942651,"SNX6"
"CFHR1",-0.53537186972454,0.0147452228747076,-3.30152825520393,0.00291144916080652,0.0173807652921973,-1.94111112910568,"CFHR1"
"PLXNB1",-0.311819456416974,0.128986937594126,-3.29234780219482,0.00297811004637572,0.0176687093153424,-1.96234924765501,"PLXNB1"
"LSR",-0.481237363114616,-0.0735135181073913,-3.29170081772871,0.00298286319895829,0.0176687093153424,-1.96384515299713,"LSR"
