"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"ARMC2",-0.548437343488828,0.0533038408777242,-2.35764038179807,0.0349597282469498,0.103311223507182,-3.82380763870305,"ARMC2"
"ABRACL",0.493512312107357,-0.0101432065015732,2.43319532699934,0.0225084049508547,0.0743802841116612,-3.82498850986232,"ABRACL"
"LCP2",0.451473720694313,-0.0223009565826033,2.43111041206863,0.0226126612944673,0.0744961563756616,-3.82913736605442,"LCP2"
"CRLF3",0.476012528448346,-0.0380551904170405,2.35150080844476,0.0353606262685612,0.104149924059222,-3.83405927033072,"CRLF3"
"PLXDC2",-0.235639549586597,0.0649432925872298,-2.42510531024496,0.0229154393255307,0.0750918704234068,-3.84107511592738,"PLXDC2"
"LAMA2",-0.324753772911574,0.0494253160860297,-2.42274589901352,0.0230354199771142,0.0753309046678054,-3.84576056833009,"LAMA2"
"LSM8",0.366437496078871,-0.0297807090197982,2.34330276306016,0.0359027795639885,0.104878562962784,-3.84773291249037,"LSM8"
"RGCC",0.481794419353548,-0.0391570741943169,2.34121452574289,0.0360421403556414,0.105113061791289,-3.85121312580919,"RGCC"
"MPO",0.35396478388766,0.0470208586915627,2.41690655791927,0.0233348543351596,0.0761701024995394,-3.85734473509696,"MPO"
"GXYLT1",0.432516568059528,0.195263577612507,2.4072059204759,0.0238402234783341,0.0774004528080698,-3.87655130587086,"GXYLT1"
"PLD3",-0.490704616294581,-0.0330991448674991,-2.32446574847704,0.037178684805871,0.107217143616705,-3.879084838637,"PLD3"
"ZDBF2",-0.535145148845659,0.21403980004914,-2.32436701376112,0.0371854848856139,0.107217143616705,-3.87924892311496,"ZDBF2"
"CKAP5",-0.315989957067129,0.0533531117915745,-2.32220189280428,0.0373348995389521,0.107473764206789,-3.8828464225857,"CKAP5"
"IGLV3-1",0.732157759877669,-0.258534763938398,2.402983962454,0.0240633020214262,0.0779756180257145,-3.88489572807025,"IGLV3-1"
"KLK6",-0.295874529356559,0.0112267487749567,-2.39950031209428,0.0242488139396065,0.0784338909064727,-3.89177417293123,"KLK6"
"CCDC18",-0.363649597228802,0.00269419330022815,-2.38414370186513,0.0250823616078039,0.0806346141808313,-3.92202249996508,"CCDC18"
"HEXA",-0.247117269321711,0.0736622190342756,-2.38363355999184,0.0251104981766051,0.0806346141808313,-3.92302528444294,"HEXA"
"FRMPD4",-0.374217958607039,-0.000363693577295029,-2.29588292157289,0.0391974335987069,0.111215684803986,-3.92647582467727,"FRMPD4"
"TUBA4B",0.528268191429885,-0.136652919024723,2.28863287937556,0.0397258080153627,0.112356458599889,-3.93846091148846,"TUBA4B"
"COL6A2",-0.260517226283677,0.0650395654479021,-2.37501076926096,0.0255904885203069,0.0818803580532843,-3.93995498476847,"COL6A2"
"LSP1",0.42270199826008,-0.0565068919929788,2.37391226273607,0.0256522382065894,0.0819305776831643,-3.9421090254527,"LSP1"
"EFNB1",-0.261954563729175,0.0399425977924361,-2.37221183156077,0.0257480931535581,0.0820893507530105,-3.94544214918592,"EFNB1"
