"","gene_name","sum","controls","cases","sm","null.effect","level","k.study","method","TE.random","seTE.random","statistic.random","pval.random","lower.random","upper.random","seTE.predict","level.predict","lower.predict","upper.predict","Q","df.Q","pval.Q","method.tau","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.upper.tau","H","lower.H","upper.H","I2","lower.I2","upper.I2","Rb","lower.Rb","upper.Rb","method.bias","zval.random","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","statistic.fixed","pval.fixed","zval.fixed","random.adj.pval","fixed.adj.pval","order"
"PLA2G7","PLA2G7",159,70,89,"SMD",0,0.95,5,NA,-0.365530199518434,0.17777056583853,-2.05619078610824,0.0397641300555853,-0.713954106073259,-0.0171062929636082,0.213918379510556,0.95,-1.04631395602408,0.315253556987215,4.30309061048822,4,0.366538249221314,NA,0.0141586990138713,0.112386527836787,0,1.36843635755022,0.118990331598291,0,1.16980184542093,NA,1.03719460691909,1,2.27439501837845,0.0704355631623175,0,0.806683818050935,0.0896052871134191,0,1,NA,-2.05619078610824,-0.34960294432832,0.165796969826211,-0.674559033933568,-0.0246468547230723,-2.10862083121769,0.0349773233306382,-2.10862083121769,0.194587694497816,0.0915961035692999,147
"ANPEP","ANPEP",476,173,303,"SMD",0,0.95,11,NA,-0.418433905895682,0.160469304350856,-2.6075635311586,0.00911891468390279,-0.732947963047556,-0.103919848743808,0.388324659705066,0.95,-1.29688531633867,0.460017504547308,19.8191898496302,10,0.0310099828868276,NA,0.125045643696208,0.122404247110929,0,1.25881881715632,0.353617934635968,0,1.12197095201093,NA,1.40780644442445,1,1.98997085866761,0.495438508038379,0,0.74747372833651,0.44146059218187,0.033804349666574,0.849116834697166,NA,-2.6075635311586,-0.46640514700867,0.108458619946937,-0.678980135917585,-0.253830158099755,-4.30030501251865,1.70563189164138e-05,-4.30030501251865,0.0713061524509306,0.000147013839751135,146
"HSPG2","HSPG2",442,168,274,"SMD",0,0.95,11,NA,-0.42073484488497,0.168053428866449,-2.50357786641369,0.0122944623683797,-0.750113512941674,-0.0913561768282651,0.426040679732495,0.95,-1.38450582018525,0.543036130415311,21.8033533019257,10,0.0161383395886539,NA,0.153268705833156,0.134104686550843,0.0132264179286711,1.47356711291054,0.391495473579397,0.115006164742031,1.21390572653338,NA,1.47659585878891,1.05067034503689,2.0751849906985,0.541354952996299,0.0941275519041405,0.767787087924803,0.493362401254193,0.108054938458538,0.878669864049847,NA,-2.50357786641369,-0.3843014277395,0.106076714925923,-0.592207968592631,-0.176394886886368,-3.62286320808361,0.000291359923357136,-3.62286320808361,0.0859479235614378,0.00171315117725882,145
"ENPP2","ENPP2",365,109,256,"SMD",0,0.95,7,NA,-0.434625062551445,0.170064161224483,-2.55565346291711,0.0105988613329864,-0.767944693612445,-0.101305431490445,0.325600539254005,0.95,-1.27160789443118,0.402357769328288,9.52832724519128,6,0.145972443362535,NA,0.0770938922295116,0.111056295422751,0,0.777037067726322,0.277657869021412,0,0.881497060531867,NA,1.26018036045052,1,1.94143952534787,0.370298705575204,0,0.734690827023868,0.380799464970132,0,1,NA,-2.55565346291711,-0.346007384945014,0.118886518275757,-0.579020679012859,-0.112994090877168,-2.91040052281161,0.00360965853487011,-2.91040052281161,0.0784315738640994,0.0152333350646961,144
"PCOLCE","PCOLCE",430,153,277,"SMD",0,0.95,11,NA,-0.437396541512572,0.198979048006701,-2.19820401139844,0.0279345709560815,-0.827388309283771,-0.0474047737413719,0.539144250132415,0.95,-1.65702556873108,0.782232485705939,27.985008757315,10,0.00181525227689881,NA,0.251083860905192,0.189892892595828,0.0428689817282594,1.27415040839441,0.501082688690391,0.20704825941857,1.12878271088568,NA,1.67287204404028,1.21113714929921,2.3106391190715,0.642665825595423,0.318268519433919,0.812700871476003,0.576516067517107,0.256229891899474,0.89680224313474,NA,-2.19820401139844,-0.417592679569176,0.111046872473237,-0.635240550212533,-0.199944808925818,-3.7605082454692,0.000169568485086268,-3.7605082454692,0.156347509573755,0.00108998047405029,143
"LCN2","LCN2",449,168,281,"SMD",0,0.95,8,NA,-0.438423113197142,0.109986825014899,-3.9861420959988,6.71563027212647e-05,-0.653993329000253,-0.222852897394031,0.109986825014899,0.95,-0.707551178795906,-0.169295047598378,6.2409168071583,7,0.511917388458534,NA,0,0.0461837974820904,0,0.368576389113661,0,0,0.607104924303585,NA,1,1,1.75622630804748,0,0,0.675780566278814,0,0,1,NA,-3.9861420959988,-0.438423113197142,0.109986825014899,-0.653993329000253,-0.222852897394031,-3.9861420959988,6.71563027212647e-05,-3.9861420959988,0.00169793518713598,0.000489788996289224,142
"APOH","APOH",1659,660,999,"SMD",0,0.95,20,NA,-0.449125005691677,0.164734084601835,-2.72636356208383,0.00640364209260518,-0.771997878537447,-0.126252132845907,0.680696490068979,0.95,-1.87921526439231,0.980965253008956,118.77846242822,19,1.87588621141267e-16,NA,0.436210392962623,0.174506486501179,0.217481728499117,1.18048955328071,0.660462257031106,0.466349363137892,1.08650336091551,NA,2.50029958655716,2.06246441264227,3.03108164398772,0.840038340187456,0.764913834232684,0.891155940518804,0.80370945802795,0.665735615069473,0.941683300986426,NA,-2.72636356208383,-0.548071175969433,0.0607541027219133,-0.66714702921743,-0.428995322721436,-9.02113851435007,1.86144550330963e-19,-9.02113851435007,0.0558294543361038,6.72336387743026e-18,141
"ATIC","ATIC",82,34,48,"SMD",0,0.95,3,NA,-0.454309783256182,0.229242418903043,-1.98178760034953,0.04750301783994,-0.903616668034991,-0.00500289847737406,0.229242418903043,0.95,-3.36711089205417,2.45849132554181,0.258107236887992,2,0.878926837592713,NA,0,0.191688946196797,0,1.0424219747699,0,0,1.02099068299858,NA,1,1,3.10056928227866,0,0,0.895979935249104,0,0,1,NA,-1.98178760034953,-0.454309783256182,0.229242418903043,-0.903616668034991,-0.00500289847737406,-1.98178760034953,0.04750301783994,-1.98178760034953,0.218550719410312,0.116794291836611,140
"RLF","RLF",137,50,87,"SMD",0,0.95,2,NA,-0.455402279444805,0.18931701797692,-2.40550101787639,0.0161503069672498,-0.82645681634009,-0.0843477425495194,NA,0.95,NA,NA,0.138752741036481,1,0.709524118181854,NA,0,0.152088506422172,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,1,NA,-2.40550101787639,-0.455402279444805,0.18931701797692,-0.82645681634009,-0.0843477425495194,-2.40550101787639,0.0161503069672498,-2.40550101787639,0.104255385826885,0.0509355835120955,139
"IGHV3-72","IGHV3-72",1039,523,516,"SMD",0,0.95,14,NA,-0.456171283994374,0.209967640308755,-2.17257899037956,0.0298120185712377,-0.867700296918395,-0.0446422710703531,0.731252327619001,0.95,-2.04943323713468,1.13709066914593,66.4750758346375,13,3.55272434722782e-09,NA,0.49064355667138,0.239256094462545,0.209053669464278,1.77903261839068,0.700459532500901,0.45722387236919,1.3338038155556,NA,2.26129771854464,1.77012788520228,2.88875589986588,0.804437981652873,0.680853039482295,0.880166482055905,0.794938130641419,0.534883723828453,1,NA,-2.17257899037956,-0.171775646582312,0.0742525834273528,-0.31730803585898,-0.0262432573056453,-2.31339623018469,0.0207008641696186,-2.31339623018469,0.163136302722049,0.0618173443805343,138
