"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","entrez_id","protein_id"
13.3598863622105,12.6562713983778,1.30066134332668,1.36400574146585,16,91,"P35237;A0A087X1N8;A0A024QZX5","SERPINB6","ENSG00000124570",5269,"ENSP00000369896"
14.9887273899326,15.9912683483702,1.11116831563354,0.721055733539633,5,56,"O60462;O60462-5;A0A024R412;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-6;O60462-4;O60462-2;O60462-3","NRP2","ENSG00000118257",8828,"ENSP00000353582"
17.2979508877726,17.0557402453352,0.68285893370027,0.956118984514322,31,262,"A0A075B6H7;P04434","IGKV3-7","ENSG00000282310",NA,"ENSP00000487957"
12.8524276396152,13.2252588782413,1.2584125773064,1.27066473674733,16,193,"A0A075B6I0","IGLV8-61","ENSG00000211638",NA,"ENSP00000374818"
14.8148905196746,13.9635281811278,1.46861596387606,1.2391263855046,10,149,"A0A075B6I5;P01702;P06316","IGLV1-51","ENSG00000211644",NA,"ENSP00000374825"
14.9506254769498,14.9567343098293,1.07806450895451,1.21391604816681,28,193,"A0A075B6I9","IGLV7-46","ENSG00000211649",NA,"ENSP00000374830"
12.6227669488342,11.8341061441149,1.35788481382506,1.8241246660862,8,72,"A0A075B6J1","IGLV5-37","ENSG00000281471",NA,"ENSP00000487591"
17.321102855384,17.1008489942571,0.862063337824248,0.82157402262673,31,262,"A0A075B6J4;A0A075B6J3","IGLV3-25;IGLV3-27",NA,NA,NA
11.6827750744336,12.731696825018,NA,1.32645067669659,1,66,"A0A075B6J5","IGLV2-23","ENSG00000211660",NA,"ENSP00000374841"
18.3108230018345,17.9349966262182,0.8359778226325,1.26531235533735,26,242,"A0A075B6J7","IGLV3-21","ENSG00000211662",NA,"ENSP00000374843"
16.0818042414229,15.814811115643,0.925565598538334,1.04721532934366,31,262,"A0A075B6J8","IGLV3-19","ENSG00000211663",NA,"ENSP00000374844"
14.7429373089658,14.9376714634732,1.18014976843183,1.18843557256563,26,232,"A0A075B6J9","IGLV2-18","ENSG00000211664",NA,"ENSP00000374845"
13.2145401604916,13.4928144096852,1.77574949424385,1.63377911583759,14,132,"A0A075B6K3","IGLV2-11","ENSG00000211668",NA,"ENSP00000374849"
16.7135417575547,16.1044555178707,1.20873131729466,1.16810690589501,31,260,"A0A075B6K4","IGLV3-10","ENSG00000211669",NA,"ENSP00000374850"
15.2563561237037,15.111187854052,1.04368954307268,1.28428855161561,30,257,"A0A075B6K5","IGLV3-9","ENSG00000211670",NA,"ENSP00000374851"
14.5750650118458,15.386930482283,1.56956642103615,1.38331457504225,22,242,"A0A075B6K9;P0CG05;P0CF74","IGLC2;IGLC6",NA,NA,NA
13.5803324254308,13.1310277312982,1.39936948896801,1.46652837779267,21,184,"A0A075B6Q5","IGHV3-64","ENSG00000274236",NA,"ENSP00000488676"
13.6079339143527,13.5027419079002,1.09901152876865,1.20421202815227,30,232,"A0A087X0Q4;A0A087WW87;A0A075B6R1","IGKV2-40;IGKV2D-40",NA,NA,NA
17.2203468964834,17.2555986606289,0.768110615361139,0.773947668593725,31,261,"A0A075B6R9;A0A0C4DH68","IGKV2D-24;IGKV2-24",NA,NA,NA
14.9590511879905,14.6690394826967,0.877034036459789,1.32052002100126,31,248,"A0A087X0P6;A0A075B6S2;A0A0A0MRZ7","IGKV2D-29","ENSG00000243264",NA,"ENSP00000417637"
12.17946554018,11.9859943138718,1.62211207299215,1.38018580358996,4,24,"A0A075B7D0","IGHV1OR15-1","ENSG00000270505",NA,"ENSP00000474284"
