"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","entrez_id","prot_id"
30.7276614470588,30.7118018566667,0.978725095567004,0.580909328242188,102,27,"P00739;P00739-2;A0A0A0MRD9","HPR","ENSG00000261701",3250,"ENSP00000497360"
29.1792423637255,29.1000378659259,0.33271124720688,0.388653828752621,102,27,"P00740;P00740-2","F9","ENSG00000101981",2158,"ENSP00000218099"
28.6348259617647,28.3519666837037,0.322017125924761,0.357253202716901,102,27,"P00742","F10","ENSG00000126218",2159,"ENSP00000387092"
33.8962093114706,33.6901069381481,0.315544262462048,0.378707834380119,102,27,"P00747","PLG","ENSG00000122194",5340,"ENSP00000355891"
30.6326867509804,30.7294647544444,0.679444305114005,0.452062384042343,102,27,"P00748","F12","ENSG00000131187",2161,"ENSP00000253496"
27.8722268767647,28.0795858955556,1.15182005521205,1.04802671692192,102,27,"P00915;E5RHP7;E5RH81;E5RIF9;E5RG43;E5RFE7;E5RFL2","CA1","ENSG00000133742",759,"ENSP00000430656"
24.1783121470588,24.1930419503704,1.91219025788289,2.32257252897651,102,27,"P00918","CA2","ENSG00000104267",760,"ENSP00000285379"
24.0148579391176,24.8347870681481,4.53406320628211,4.4060911196922,102,27,"P00966;Q5T6L6","ASS1","ENSG00000130707",445,"ENSP00000253004"
33.8776876752941,34.0708788559259,0.306791748993419,0.264917660583801,102,27,"P01008","SERPINC1","ENSG00000117601",462,"ENSP00000356671"
32.8340551893137,32.4419965025926,0.618782853446302,0.527466249045495,102,27,"P01019","AGT","ENSG00000135744",183,"ENSP00000506329"
37.1235236877451,37.4912832059259,0.490469661868104,0.431951995011724,102,27,"P01023","A2M","ENSG00000175899",2,"ENSP00000323929"
33.3410474589216,33.2533174092593,0.34193402305755,0.286775206727129,102,27,"P01031","C5","ENSG00000106804",727,"ENSP00000223642"
27.0669189831373,27.4999709066667,1.0031668659873,0.689786417934981,102,27,"P01034","CST3","ENSG00000101439",1471,"ENSP00000381448"
27.2772293970588,27.252184237037,2.02689610262857,1.69791421105084,102,27,"P01344-3;P01344;P01344-2","IGF2","ENSG00000167244",3481,"ENSP00000370802"
30.4913118426471,29.9996987174074,1.14968783148307,0.645509095628211,102,27,"P01591;D6RD17;D6RHJ6","IGJ;JCHAIN",NA,NA,NA
28.5346356770588,28.4423590174074,0.830163036225045,0.694918117222908,102,27,"P01599","IGKV1-17","ENSG00000281978",NA,"ENSP00000488092"
25.0352850487255,25.1387685892593,1.05360237981208,0.980318646459272,102,27,"P01601","IGKV1D-16","ENSG00000241244",NA,"ENSP00000418200"
30.0632061965686,29.94200777,0.723516324374414,0.757557440547271,102,27,"P01602","IGKV1-5","ENSG00000282801",NA,"ENSP00000488639"
32.7866835892157,32.4829251855556,0.605123171977321,0.504280548669513,102,27,"P01619","IGKV3-20","ENSG00000282402",NA,"ENSP00000487628"
30.9545962435294,30.7217677088889,0.668307390075593,0.631052472147476,102,27,"P01624;A0A0C4DH55;A0A0C4DH90","IGKV3D-7;IGKV3OR2-268",NA,NA,NA
26.3768062604902,25.3214668007407,1.76349167116513,1.37621998572309,102,27,"P01699","IGLV1-44","ENSG00000274854",NA,"ENSP00000485735"
30.5649031869608,29.89250946,0.883490214544093,0.74826335582202,102,27,"P01700","IGLV1-47","ENSG00000211648",NA,"ENSP00000374829"
30.4614594332353,30.0992566948148,0.750531589042776,0.578196389480765,102,27,"P01701","IGLV1-51","ENSG00000211644",NA,"ENSP00000374825"
28.9040294420588,28.31128936,1.00400783633955,0.588855506314413,102,27,"P01703","IGLV1-40","ENSG00000274575",NA,"ENSP00000479659"
30.3353228219608,29.9091044425926,0.850320076029434,0.723268571980784,102,27,"P01706","IGLV2-11","ENSG00000211668",NA,"ENSP00000374849"
30.3941008420588,29.7463747774074,1.07022419656519,0.787974437557771,102,27,"P01714","IGLV3-19","ENSG00000211663",NA,"ENSP00000374844"
27.4778967537255,25.43191587,1.85356542035928,1.05301077487017,102,27,"P01715","IGLV3-1","ENSG00000211673",NA,"ENSP00000374854"
29.8181341385294,28.7056811259259,1.25383238162096,1.19604126560343,102,27,"P01717","IGLV3-25","ENSG00000211659",NA,"ENSP00000374840"
26.4737768947059,26.3443253233333,1.16766406881006,1.09701956297424,102,27,"P01718","IGLV3-27","ENSG00000211658",NA,"ENSP00000374839"
25.776571462549,25.3527685814815,1.18676943916646,0.8995965156561,102,27,"P01721","IGLV6-57","ENSG00000211640",NA,"ENSP00000374820"
29.5191938303922,28.7883110418519,1.12774249449102,1.14014540373925,102,27,"P01742","IGHV1-69","ENSG00000282350",NA,"ENSP00000488090"
27.4451158544118,26.7173610525926,1.35086800238696,0.715710035940293,102,27,"P01743","IGHV1-46","ENSG00000282131",NA,"ENSP00000488713"
22.2946763232353,21.434366002963,1.85137725251741,1.65841160415654,102,27,"P01762","IGHV3-11","ENSG00000282322",NA,"ENSP00000488236"
24.6699473817647,24.2565902840741,1.50789845776321,1.42245012639182,102,27,"P01764","IGHV3-23","ENSG00000281962",NA,"ENSP00000487761"
26.0461689235294,25.6814818737037,1.14110213181153,0.933149491564109,102,27,"P01766","IGHV3-13","ENSG00000282286",NA,"ENSP00000488851"
23.2822404852941,21.604358447037,2.06470058481318,2.44721365944139,102,27,"P01767","IGHV3-53","ENSG00000282593",NA,"ENSP00000488526"
29.2585302846078,28.2126821285185,1.30315585112514,1.22077381423244,102,27,"P01772","IGHV3-33","ENSG00000282642",NA,"ENSP00000487655"
31.0320496780392,30.953775287037,0.510964164862383,0.450803352283225,102,27,"P01780","IGHV3-7","ENSG00000282211",NA,"ENSP00000487659"
23.7821120111765,23.1113888625926,1.73458842836544,1.98976549452255,102,27,"P01814","IGHV2-70","ENSG00000282453",NA,"ENSP00000487677"
26.8109206507843,26.2882240207407,1.24861186057852,1.09952806135747,102,27,"P01817","IGHV2-5","ENSG00000277318",NA,"ENSP00000473889"
27.2224019818627,27.0573019048148,1.3738137306301,1.23272800490621,102,27,"P01833","PIGR","ENSG00000162896",5284,"ENSP00000348888"
35.236522630098,35.3437377351852,0.446121483036422,0.504028524546889,102,27,"P01834","IGKC","ENSG00000211592",NA,"ENSP00000374777"
36.2607232073529,36.2184704544444,0.392043629482522,0.341046071383884,102,27,"P01857;A0A0A0MS08;A0A0A0MS07","IGHG1","ENSG00000277633",NA,"ENSP00000487867"
34.776588404902,34.8228595462963,0.479703512453675,0.593852994682287,102,27,"P01859;A0A286YEY4","IGHG2","ENSG00000274497",NA,"ENSP00000480351"
36.3408591468627,36.3170309581481,0.453636500941875,0.412230977435953,102,27,"P01860;A0A286YES1","IGHG3","ENSG00000282184",NA,"ENSP00000487823"
34.7364602889216,34.4057772033333,1.03089549437396,0.700096541207055,102,27,"P01871;A0A1B0GUU9;P01871-2","IGHM","ENSG00000282657",NA,"ENSP00000485962"
35.787918512549,35.8495767788889,0.780115454014385,0.560289154333491,102,27,"P01876;A0A286YEY1","IGHA1","ENSG00000282633",NA,"ENSP00000488021"
21.1357069818627,21.5365482955556,1.58789701875502,2.96166007444592,102,27,"P02144;B0QYF8;F2Z2F1;Q8WVH6;B0QYF7","MB","ENSG00000198125",4151,"ENSP00000386060"
21.1745524223529,20.9190383459259,1.76279891417583,1.76889893846931,102,27,"P02549-2;P02549","SPTA1","ENSG00000163554",6708,"ENSP00000495214"
36.1744374255882,36.6098382618519,0.371024214859191,0.435926693304077,102,27,"P02647;F8W696","APOA1","ENSG00000118137",335,"ENSP00000364469"
32.649276932549,32.4843526007407,0.527964001579744,0.562840494455607,102,27,"P02649;H0Y7L5;E9PEV4;E7ERP7","APOE","ENSG00000130203",348,"ENSP00000413135"
37.1792496382353,36.9047512362963,0.38443539157291,0.351438763933674,102,27,"P02671;P02671-2","FGA","ENSG00000171560",2243,"ENSP00000498441"
36.9817288137255,36.7314330844444,0.356229369179769,0.338263363481716,102,27,"P02675;D6REL8","FGB","ENSG00000171564",2244,"ENSP00000306099"
