"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
3.27703825,2.28650725,1.06773786377319,0.471965441526251,20,10,"A0A087X1J7;P22352","GPX3","ENSG00000211445","ENSP00000373477",2878
-1.634256525,-1.54978507,1.47415728249174,1.0324518453352,20,10,"A0A090N7U9;Q99969;C9J8S2","RARRES2","ENSG00000106538","ENSP00000223271",5919
5.2861315,4.40168175,1.07848818149845,0.843606543068748,20,10,"A0A096LPE2;P35542","SAA2-SAA4;SAA4",NA,NA,NA
1.4027369725,0.967935825,1.27113862240833,0.701164180735095,20,10,"A0A0A0MRJ7;P12259","F5","ENSG00000198734","ENSP00000356771",2153
0.06920117,-0.935421435,2.77977152321355,1.8840119086483,20,10,"A0A0K0K1J1;P01034","CST3","ENSG00000101439","ENSP00000381448",1471
6.50686475,6.03207825,1.35695876956764,0.468938569013472,20,10,"A0A0S2Z3D5;P02649;J9ZVQ3;H0Y7L5;E9PEV4;E7ERP7;Q6LBZ1","APOE","ENSG00000130203","ENSP00000413135",348
-3.7250301,-2.2787338,1.37744189287633,0.782785308180247,20,10,"A8K6C1;A0A0S2Z3F6;P11597;Q5TZS4;B4DMZ5;A0A0S2Z3I8;H3BRJ9","CETP","ENSG00000087237","ENSP00000369106",1071
2.21476794,1.3926057,1.35243117799529,0.611191955811447,20,10,"A0A0S2Z3Y1;Q08380;B4DVE1;B4DWA8;B3KP88;B4DDG4;B4DI70","LGALS3BP","ENSG00000108679","ENSP00000465120",3959
-0.6242939625,-1.361195933,1.59285092589431,0.826335026635025,20,10,"A0A0S2Z4F1;Q12805;A0A0S2Z3V1;B2R6M6;A8KAJ3;Q59G97;A0A0U1RQV3;B4DWH0;Q53TA7;B3KS53","EFEMP1","ENSG00000115380","ENSP00000378058",2202
0.651109215,1.4682623,1.85724519273436,0.787743041866311,20,10,"A0A0S2Z4I5;P27918;E9PAQ1;B3KVK6","CFP","ENSG00000126759","ENSP00000380189",5199
3.2105362,2.8578046,1.10294129833839,0.857857530718527,20,10,"A0A0S2Z4K3;A0A0S2Z4L3;P07225;Q9NSD0;Q16519;G5E9F8;B4E1L6","PROS1","ENSG00000184500","ENSP00000377783",5627
-1.5101593625,-3.40060685,1.44844818776022,1.44007821192473,20,10,"A0A0S2Z4Q2;Q15582;Q53GU8;A0A0S2Z4K6;H0Y8L3","TGFBI","ENSG00000120708","ENSP00000416330",7045
-2.63862915,-0.85692231,1.63216420154679,0.895783355575402,20,10,"A0A0X9UWL5;A0A0X9TDD0;P06312","IGKV4-1","ENSG00000211598","ENSP00000374778",NA
0.56969072,0.610651315,1.45340600646075,0.635056776749264,20,10,"A0A140VJI7;Q16610;C8CHS3","ECM1","ENSG00000143369","ENSP00000358045",1893
2.793451775,-1.818938325,2.23421584091245,1.84189007933804,20,10,"A0A140VJJ6;P02679;C9JEU5;C9JC84;D3DP16;Q7Z664","FGG;DKFZp779N0926",NA,NA,NA
-4.24705325,-4.03609825,1.54669378668558,0.982983711596463,20,10,"J3K000;A0A140VJR2;P12955","PEPD","ENSG00000124299","ENSP00000244137",5184
1.1543283,1.54791805,2.65150021440272,0.690375409104248,20,10,"A0A140VK00;P25311;C9JEV0","AZGP1","ENSG00000160862","ENSP00000292401",563
0.375528175,0.82712415,1.47714978613055,0.473543488095811,20,10,"A0A140VK24;P04180;J3QSE5","LCAT","ENSG00000213398","ENSP00000264005",3931
4.34923425,4.01129825,0.842888612181622,0.425123843636001,20,10,"A0A140VKF3;P36955","SERPINF1","ENSG00000282307","ENSP00000488386",5176
1.80194656,1.94948325,1.01415416793066,0.61197798691126,20,10,"A0A182DWH7;P49908;A0A182DWH8","SEPP1",NA,NA,NA
3.98805675,6.419474,5.27281762803349,3.78345143669537,20,10,"A0A1B1CYC5",NA,NA,NA,NA
-0.27529535,0.1442372725,2.14833671441045,0.96725509124693,20,10,"A0N5G1;P01602","V<kappa>1;IGKV1-5",NA,NA,NA
-0.59724345,0.74596025,2.98672617974947,1.64084391215872,20,10,"A2NB45;B7ZMG8;A0A087X0Q4;A0A087WW87;A2IPI1;A0A075B6P5;P01615;P01614","IGKV2-40;IGKV2D-28",NA,NA,NA
5.3653195,5.8395615,0.874816918480812,0.502793037873051,20,10,"Q5T985;A2RTY6;P19823;D3DRR6;B4DM79","ITIH2","ENSG00000151655","ENSP00000351190",3698
0.914801525,4.3779319,2.87994499587035,1.85337815636812,20,10,"A2VCK8;P62328;Q0P5T0;Q0P5U7;Q0P5Q0;Q0P5P4;Q0P5N8","TMSB4X","ENSG00000205542","ENSP00000414376",7114
-2.9829815,-2.3618035,1.55168112506663,0.972901306808233,20,10,"B4DG86;A2VDG3;B4E2Y8;E9PEK4;Q59HE0;P07333","CSF1R","ENSG00000182578","ENSP00000422212",1436
