"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGHV3-7","IGHV3-7",-2.84823595593341,98.1165951059144,1.29,"<=",-7.68603106149805,"maximize_metric",0.215384615384616,0.611111111111111,0.615384615384615,0.6,0.369230769230769,"COVID19","HC",0.722222222222222,"class","x",NA,5,8,3,2,2.27023832232842,0.02531780798429,"Sensitivity: 48",0.615384615384615,0.6,-0.819328851243807,0.548993665453037,4.40833333333333,3.9240111560429,0.342359559928129,0.890134855813134,-0.387740660457364,2.27023832232842,"Neither: 78","(0.8, Inf]"
"IGKV1-27","IGKV1-27",-1.00098259513184,41.3676119557604,1.17,">=",-7.2977351289884,"maximize_metric",0.416666666666667,0.6875,0.666666666666667,0.75,0.541666666666667,"COVID19","HC",0.75,"class","x",NA,4,8,3,1,1.61397990225658,-0.117783035656384,"Sensitivity: 48",0.666666666666667,0.75,-1.38318828237529,0.389020878337231,5.78666666666667,4.36602588692485,0.251499187034841,0.754497561104524,-0.866437472100507,1.61397990225658,"FN: 157","(0.8, Inf]"
"IGKV3D-20","IGKV3D-20",4.50938926638132,69.5516019822072,0.77,">=",-6.69172434880006,"maximize_metric",0.568181818181818,0.8,0.818181818181818,0.75,0.840909090909091,"COVID19","HC",0.733333333333333,"class","x",NA,2,9,3,1,-0.573548164649565,0.0870113769896299,"Neither: 137",0.818181818181818,0.75,-0.713597708946625,0.441363411127456,4.72,3.94638327867539,0.30403569173154,0.836098152261735,-0.578449253970168,-0.573548164649565,"Neither: 78","(-0.8,0.8]"
"GP5","GP5",-0.456945790579381,38.6435927203937,1.24,">=",-8.80720156622,"maximize_metric",0.215384615384616,0.611111111111111,0.615384615384615,0.6,0.492307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,5,8,3,2,1.99679731396515,0.02531780798429,"Sensitivity: 48",0.615384615384615,0.6,-0.747973033461799,0.54938890203194,4.36666666666667,3.94365173328785,0.347356288897931,0.903126351134622,-0.341890531978814,1.99679731396515,"Neither: 78","(0.8, Inf]"
"IGKV3-20","IGKV3-20",5.34968067984619,80.9161575124457,0.81,">=",-6.76380010659503,"maximize_metric",0.646153846153846,0.833333333333333,0.846153846153846,0.8,0.892307692307692,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,4,1,-0.354795357958951,0.0560894666510436,"Neither: 137",0.846153846153846,0.8,-1.03810388300771,0.382497608441884,5.5375,4.04477834177166,0.28093615848388,0.730434012058088,-0.951363555520955,-0.354795357958951,"FN: 157","(-0.8,0.8]"
"IGKV1D-33","IGKV1D-33",3.13372227585542,102.625648990917,1.02,">=",-8.52821830091802,"maximize_metric",0.6,0.888888888888889,1,0.6,0.723076923076923,"COVID19","HC",0.722222222222222,"class","x",NA,0,13,3,2,0.793656877166774,0.510825623765991,"Neither: 137",0.9999,0.6,-0.434007435220967,0.618636825615524,4.18333333333333,4.21851540193238,0.387850021630314,1.00841005623882,0.029681122112538,0.793656877166774,"Neither: 78","(-0.8,0.8]"
"IGFBP3","IGFBP3",6.46487765040992,60.5842294004125,0.82,"<=",-7.5494081087719,"maximize_metric",0.846153846153846,0.888888888888889,0.846153846153846,1,0.938461538461538,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,5,0,-0.300107156286297,-0.167054084663166,"Neither: 137",0.846153846153846,0.9999,-7.55236109912017,0.000295568181538113,8201.1801180127,2775.49792166773,0.130164096542256,0.338426651009865,-2.33485232442895,-0.300107156286297,"FN: 157","(-0.8,0.8]"
"H2BC21","H2BC21",2.29700784380892,70.2326715212661,0.66,"<=",-7.1874454519984,"maximize_metric",0.6,0.733333333333333,0.6,1,0.78,"COVID19","HC",0.666666666666667,"class","x",NA,4,6,5,0,-1.17511838304875,-0.510825623765991,"Specificity: 57",0.6,0.9999,-6.07869063880391,0.000303647578398705,6601.34013401413,2174.91282105967,0.164732673737957,0.329465347475915,-2.36647893154379,-1.17511838304875,"FN: 157","(-Inf,-0.8]"
"LDHB","LDHB",3.1112064167032,56.8095678157946,0.61,">=",-8.96093065094254,"maximize_metric",0.5,0.647058823529412,0.5,1,0.766666666666667,"COVID19","HC",0.705882352941177,"class","x",NA,6,6,5,0,-1.44855939141202,-0.693147180559945,"Specificity: 57",0.5,0.9999,-5.61816861995508,0.00028873006343537,6101.39013901457,2114.09038406454,0.144372179665681,0.346493231197634,-2.30638341235691,-1.44855939141202,"FN: 157","(-Inf,-0.8]"
"PROZ","PROZ",1.08008227410993,82.5721723191774,0.84,">=",-7.73891990146524,"maximize_metric",0.369230769230769,0.722222222222222,0.769230769230769,0.6,0.661538461538462,"COVID19","HC",0.722222222222222,"class","x",NA,3,10,3,2,-0.19073075294099,0.2484613592985,"Neither: 137",0.769230769230769,0.6,-0.177126491205741,0.579136470143768,4.03333333333333,4.20667320701385,0.401144933917405,1.04297682818525,0.151675618943979,-0.19073075294099,"Neither: 78","(-0.8,0.8]"
"PRSS1","PRSS1",4.21478584538126,67.4830017491356,0.77,"<=",-5.92204680260676,"maximize_metric",0.723076923076923,0.888888888888889,0.923076923076923,0.8,0.861538461538462,"COVID19","HC",0.722222222222222,"class","x",NA,1,12,4,1,-0.573548164649565,0.143100843640673,"Neither: 137",0.923076923076923,0.8,-0.964800624457779,0.40033124203863,5.3875,3.97453958545997,0.283743679133319,0.73773356574663,-0.925601665440284,-0.573548164649565,"FN: 157","(-0.8,0.8]"
"IGKV1-5","IGKV1-5",2.24143923704154,84.5227408239061,0.58,"<=",-7.9289648527424,"maximize_metric",0.615384615384615,0.722222222222222,0.615384615384615,1,0.753846153846154,"COVID19","HC",0.722222222222222,"class","x",NA,5,8,5,0,-1.61262399642998,-0.485507815781701,"Specificity: 57",0.615384615384615,0.9999,-5.34185540864578,0.000347156494588266,5801.42014201484,1672.1367523464,0.110857256394099,0.288228866624658,-2.51201244391063,-1.61262399642998,"FN: 157","(-Inf,-0.8]"
"CLEC3B","CLEC3B",3.64727662968554,90.1777767313967,0.62,"<=",-7.07800251200127,"maximize_metric",0.846153846153846,0.888888888888889,0.846153846153846,1,0.876923076923077,"COVID19","HC",0.722222222222222,"class","x",NA,2,11,5,0,-1.39387118973937,-0.167054084663166,"Specificity: 57",0.846153846153846,0.9999,-5.71027302372484,0.000419117564413219,6201.38013801448,1480.67911594094,0.0918331008574374,0.238766062229337,-2.6865786412816,-1.39387118973937,"FN: 157","(-Inf,-0.8]"
"IGLV3-10","IGLV3-10",1.28132990241156,50.7681679156101,0.78,"<=",-7.46423982473612,"maximize_metric",0.466666666666667,0.769230769230769,0.8,0.666666666666667,0.666666666666667,"COVID19","HC",0.769230769230769,"class","x",NA,2,8,2,1,-0.518859962976911,0.182321556793955,"Neither: 137",0.8,0.666666666666667,-0.362250153269165,0.525335845657289,4.17,4.05500279585478,0.291726819845667,0.972422732818892,-0.0973268443740914,-0.518859962976911,"Neither: 78","(-0.8,0.8]"
