"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"CLUL1","CLUL1",8.56678833399331,39.7446310821574,0.99,">=",-0.0665251028411014,"maximize_metric",1,1,1,1,1,"COVID19","HC",0.714285714285714,"class","x",NA,0,10,4,0,0.736510206590094,0,"Neither: 1161",0.9999,0.9999,-9.11813596320619,0.000274538936965738,9901.01010101119,3607.05614809083,0.145724773989371,0.364311934973427,-1.89119879752289,0.736510206590094,"FN: 1214","(-0.8,0.8]"
"PROS1","PROS1",0.922591890151762,27.2601825999189,0.88,">=",0.00301715824602411,"maximize_metric",0.464285714285714,0.740740740740741,0.75,0.714285714285714,0.657142857142857,"COVID19","HC",0.740740740740741,"class","x",NA,5,15,5,2,0.216762901617505,0.048790164169432,"Neither: 1161",0.75,0.714285714285714,-0.725582507260166,0.462100701460239,4.648,3.98652093971754,0.300189829798008,0.857685227994307,-0.423392447482334,0.216762901617505,"Neither: 735","(-0.8,0.8]"
"ITGA1","ITGA1",7.32228520356196,64.8943394201721,0.86,"<=",0.0414563057097874,"maximize_metric",0.9,0.925925925925926,0.9,1,0.971428571428571,"COVID19","HC",0.740740740740741,"class","x",NA,2,18,7,0,0.122263391622489,-0.105360515657826,"Neither: 1161",0.9,0.9999,-7.92077871419923,0.000293410252216183,8601.14011401235,2932.18992642615,0.119317492872513,0.340907122492893,-1.96082910152676,0.122263391622489,"FN: 1214","(-0.8,0.8]"
"TREML2","TREML2",1.54483595185011,101.891762504913,0.57,">=",0.256281858471345,"maximize_metric",0.3,0.481481481481481,0.3,1,0.571428571428571,"COVID19","HC",0.740740740740741,"class","x",NA,14,6,7,0,-1.24797950330525,-1.20397280432594,"Specificity: 502",0.3,0.9999,-5.24975100487601,0.000232651515344892,5701.43014301493,2451.44661207424,0.150489665347767,0.42997047242219,-1.6958618800915,-1.24797950330525,"FN: 1214","(-Inf,-0.8]"
"SPTAN1","SPTAN1",1.61817686579347,91.4224046583951,0.58,">=",0.327269241627923,"maximize_metric",0.3,0.481481481481481,0.3,1,0.6,"COVID19","HC",0.740740740740741,"class","x",NA,14,6,7,0,-1.20072974830774,-1.20397280432594,"Specificity: 502",0.3,0.9999,-5.34185540864578,0.000229291490393599,5801.42014201484,2530.95161793058,0.152692451949886,0.436264148428247,-1.67713792859785,-1.20072974830774,"FN: 1214","(-Inf,-0.8]"
"CR1","CR1",3.47396376806667,56.3852002351406,0.54,"<=",0.196516887412897,"maximize_metric",0.757142857142857,0.888888888888889,0.9,0.857142857142857,0.864285714285714,"COVID19","HC",0.740740740740741,"class","x",NA,2,18,6,1,-1.38972876829777,0.048790164169432,"Specificity: 502",0.9,0.857142857142857,-0.825731487942072,0.350295151430869,5.48333333333333,3.78873140448692,0.241833919435335,0.69095405552953,-0.919424715858786,-1.38972876829777,"FN: 1214","(-Inf,-0.8]"
"AVIL","AVIL",6.18502348974407,43.103297498388,0.81,">=",0.415716522097421,"maximize_metric",0.8,0.846153846153846,0.8,1,0.933333333333333,"COVID19","HC",0.769230769230769,"class","x",NA,2,8,3,0,-0.113985383365051,-0.22314355131421,"Neither: 1161",0.8,0.9999,-7.4602566953504,0.000284159004748669,8101.19011901279,2851.70707874569,0.105603264588976,0.352010881963254,-1.9277949489075,-0.113985383365051,"FN: 1214","(-0.8,0.8]"
"LILRB5","LILRB5",1.35123549080098,28.1401375281147,0.79,"<=",0.0831395086311488,"maximize_metric",0.457142857142857,0.666666666666667,0.6,0.857142857142857,0.714285714285714,"COVID19","HC",0.740740740740741,"class","x",NA,8,12,6,1,-0.208484893360068,-0.356674943938732,"Neither: 1161",0.6,0.857142857142857,-1.35074669516271,0.263385979202585,6.94166666666666,4.64205168551125,0.234053026160231,0.668722931886374,-0.985563246082348,-0.208484893360068,"FN: 1214","(-0.8,0.8]"
"LSAMP","LSAMP",6.3340520497527,129.266515944952,0.81,"<=",0.0590507160695495,"maximize_metric",0.75,0.814814814814815,0.75,1,0.928571428571429,"COVID19","HC",0.740740740740741,"class","x",NA,5,15,7,0,-0.113985383365051,-0.287682072451781,"Neither: 1161",0.75,0.9999,-7.4602566953504,0.000273379143772177,8101.19011901279,2964.10837696063,0.128059941403109,0.365885546866025,-1.88651723579037,-0.113985383365051,"FN: 1214","(-0.8,0.8]"
"SELE","SELE",-0.0393777199994265,87.2877468666944,1.04,">=",-0.081325686744723,"maximize_metric",0.171428571428571,0.592592592592593,0.6,0.571428571428571,0.528571428571429,"COVID19","HC",0.740740740740741,"class","x",NA,8,12,4,3,0.972758981577634,0.048790164169432,"Sensitivity: 369",0.6,0.571428571428571,-0.343958618384686,0.575667402222221,4.10666666666667,4.0689750043678,0.34678764241771,0.990821835479171,-0.0273054264508376,0.972758981577634,"Neither: 735","(0.8, Inf]"
