"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"IGKV3-20","IGKV3-20",0.972116902859889,567.983037320329,0.81,"<=",18.584044742931,"maximize_metric",0.367599067599067,0.612903225806452,0.594871794871795,0.772727272727273,0.668531468531468,"COVID19","HC",0.898617511520737,"class","x",NA,79,116,17,5,0.745967204425464,-0.261580258155282,"Neither: 62",0.594871794871795,0.772727272727273,-0.893283038079116,0.363918183120314,5.104,4.09660352999051,0.0905526863393128,0.802626083462091,-0.629834670965709,0.745967204425464,"Neither: 35","(-0.8,0.8]"
"IGKV3D-11","IGKV3D-11",0.139750580220682,230.612149347334,1.01,">=",17.9295631180253,"maximize_metric",0.136829836829837,0.405529953917051,0.364102564102564,0.772727272727273,0.508741258741259,"COVID19","HC",0.898617511520737,"class","x",NA,124,71,17,5,1.37845810094581,-0.752490572220332,"Sensitivity: 18",0.364102564102564,0.772727272727273,-1.24116976812438,0.305733855107405,5.72517647058823,4.72949297101794,0.0931995415534207,0.826086845587138,-0.554969655097233,1.37845810094581,"Neither: 35","(0.8, Inf]"
"IGKV3D-15","IGKV3D-15",0.106047491940736,337.732870181951,1.01,">=",17.1773878374902,"maximize_metric",0.133799533799534,0.511520737327189,0.497435897435897,0.636363636363636,0.53030303030303,"COVID19","HC",0.898617511520737,"class","x",NA,98,97,14,8,1.37845810094581,-0.246303456317307,"Sensitivity: 18",0.497435897435897,0.636363636363636,-0.574251648289638,0.487786929988428,4.33321428571429,4.00336559890518,0.104232500424804,0.923878981038037,-0.242907764979543,1.37845810094581,"Neither: 35","(0.8, Inf]"
"IGKV4-1","IGKV4-1",0.898082267494771,639.422648065939,0.31,">=",17.6028612429365,"maximize_metric",0.251282051282051,0.327188940092166,0.251282051282051,1,0.617715617715618,"COVID19","HC",0.898617511520737,"class","x",NA,146,49,22,0,-0.835260036875395,-1.38117926045312,"Specificity: 22",0.251282051282051,0.9999,-2.85503650686209,0.000287033389528106,3101.69016901724,1081.70420944661,0.039345781486789,0.348746699541994,-2.07819713670483,-0.835260036875395,"FN: 66","(-Inf,-0.8]"
"IGLC2","IGLC2",0.517759492371045,140.666249250778,1.15,"<=",19.4272519894808,"maximize_metric",0.211421911421911,0.617511520737327,0.620512820512821,0.590909090909091,0.595104895104895,"COVID19","HC",0.898617511520737,"class","x",NA,74,121,13,9,1.82120172851005,0.0488840829297735,"Sensitivity: 18",0.620512820512821,0.590909090909091,-0.580711425913149,0.561444557313199,4.24957264957265,3.98646912958635,0.105835463617337,0.938087063880938,-0.197568728599357,1.82120172851005,"Neither: 35","(0.8, Inf]"
"IGLV3-21","IGLV3-21",1.82457087365649,3371.29278680133,0.4,"<=",16.921311187846,"maximize_metric",0.591142191142191,0.705069124423963,0.682051282051282,0.909090909090909,0.73986013986014,"COVID19","HC",0.898617511520737,"class","x",NA,62,133,20,2,-0.55063913344124,-0.287340250537668,"Neither: 62",0.682051282051282,0.909090909090909,-0.806661821432428,0.248028762940735,6.16,3.74045714119157,0.0685065410474646,0.607217068375255,-1.25339919701752,-0.55063913344124,"FN: 66","(-0.8,0.8]"
"ITIH1","ITIH1",3.13649213976714,595.194151337419,0.5,"<=",18.1961306913598,"maximize_metric",0.64009324009324,0.894009216589862,0.912820512820513,0.727272727272727,0.87972027972028,"COVID19","HC",0.898617511520737,"class","x",NA,17,178,16,6,-0.234393685181068,0.227237722846873,"Neither: 62",0.912820512820513,0.727272727272727,-0.171960895387329,0.507198873094657,3.89583333333333,4.02963081508259,0.116695191025016,1.03434373863083,0.109593393593747,-0.234393685181068,"Neither: 35","(-0.8,0.8]"
"ITIH2","ITIH2",3.63547330044005,165.387848956119,0.4,"<=",18.4301710257909,"maximize_metric",0.734032634032634,0.797235023041475,0.779487179487179,0.954545454545455,0.919347319347319,"COVID19","HC",0.898617511520737,"class","x",NA,43,152,21,1,-0.55063913344124,-0.202599022082578,"Neither: 62",0.779487179487179,0.954545454545455,-1.1619849563275,0.180874993692414,10.4761904761905,4.16477590344271,0.0448514328063061,0.397546790783168,-1.92247245965978,-0.55063913344124,"FN: 66","(-0.8,0.8]"
"ITIH3","ITIH3",1.55301554618497,2234.57533643455,0.48,">=",15.8469367331422,"maximize_metric",0.484848484848485,0.682027649769585,0.666666666666667,0.818181818181818,0.722843822843823,"COVID19","HC",0.898617511520737,"class","x",NA,65,130,18,4,-0.297642774833103,-0.204794412646013,"Neither: 62",0.666666666666667,0.818181818181818,-0.513259627171974,0.354823786716036,4.49777777777778,3.70872967049206,0.0930283362163559,0.824569343735882,-0.559812115012608,-0.297642774833103,"Neither: 35","(-0.8,0.8]"
"ITIH4","ITIH4",1.75939612242651,1673.71600398238,0.36,">=",18.9267823211067,"maximize_metric",0.523076923076923,0.571428571428571,0.523076923076923,1,0.748951048951049,"COVID19","HC",0.898617511520737,"class","x",NA,93,102,22,0,-0.677137312745309,-0.648026745279476,"Neither: 62",0.523076923076923,0.9999,-3.31555852571092,0.000488189102534197,3601.6401640168,739.059965298371,0.023150875849041,0.205200945025591,-2.53626218729624,-0.677137312745309,"FN: 66","(-0.8,0.8]"
