"","protein","thetabar","Q","alphamin","direction","optimal_cutpoint","method","youden","acc","sensitivity","specificity","AUC","pos_class","neg_class","prevalence","outcome","predictor","boot","FN","TP","TN","FP","z_alpha","log_sens_sp","pref","corr_sens","corr_spec","talpha_val_q","inv_talpha_val","d_talpha_val_q","d_talpha_val_p","c1_prev","c1","z_c1","z_alphamin","cat_c1","cat_alphamin"
"DKFZp686E23209","DKFZp686E23209",0.224591348564195,33.4195333729422,0.7,"<=",-0.165124762821084,"maximize_metric",0.30875,0.631578947368421,0.46875,0.84,0.59125,"COVID19","HC",0.56140350877193,"class","x",NA,17,15,21,4,-0.830335999036065,-0.583332314552739,"Specificity: 30",0.46875,0.84,-1.05614762133561,0.289224389900998,5.92261904761905,4.24925406120069,0.56051718143979,0.717461992242931,-1.15354879366723,-0.830335999036065,"FN: 64","(-Inf,-0.8]"
"IGH@","IGH@",2.74497253943333,79.0656284874456,0.79,">=",-0.166247728093473,"maximize_metric",0.78625,0.894736842105263,0.90625,0.88,0.85875,"COVID19","HC",0.56140350877193,"class","x",NA,3,29,22,3,-0.4717403423095,0.0293932986966323,"Neither: 73",0.90625,0.88,-1.52032981407111,0.276139136932617,7.95833333333333,4.53246857897365,0.444941287202911,0.569524847619726,-1.75754793726352,-0.4717403423095,"FN: 64","(-0.8,0.8]"
"DKFZp686C15213","DKFZp686C15213",1.15182881664108,52.6755433790143,0.57,"<=",0.0477444263080812,"maximize_metric",0.47875,0.736842105263158,0.71875,0.76,0.6825,"COVID19","HC",0.56140350877193,"class","x",NA,9,23,19,6,-1.34830750319666,-0.0558048411688166,"Specificity: 30",0.71875,0.76,-0.421011633361366,0.42819036743729,4.25657894736842,3.83201591463102,0.703325950328337,0.900257216420271,-0.40723076016851,-1.34830750319666,"Neither: 60","(-Inf,-0.8]"
"DKFZp686M24218","DKFZp686M24218",-0.0470154554869795,88.3727620911528,0.97,"<=",0.153705443105188,"maximize_metric",0.3375,0.701754385964912,0.9375,0.4,0.58375,"COVID19","HC",0.56140350877193,"class","x",NA,2,30,10,15,0.245450971143628,0.851752210736584,"Neither: 73",0.9375,0.4,0.448278598777369,0.750221866930007,4.19166666666667,5.41661046408241,1.00955711929965,1.29223311270356,1.19313205789522,0.245450971143628,"FP: 7","(-0.8,0.8]"
"DKFZp686I15212","DKFZp686I15212",0.287671067000037,72.6180631037397,0.78,">=",-0.0673125492288774,"maximize_metric",0.23375,0.614035087719298,0.59375,0.64,0.555,"COVID19","HC",0.56140350877193,"class","x",NA,13,19,16,9,-0.511584304168007,-0.0750098210048666,"Neither: 73",0.59375,0.64,-0.252417707868274,0.51411058590283,4.07291666666667,4.02804270351894,0.772642462311818,0.988982351759127,-0.0449829562337573,-0.511584304168007,"Neither: 60","(-0.8,0.8]"
"DKFZp686P15220","DKFZp686P15220",2.30177306171089,55.5138261180391,1.23,">=",-0.478003861977827,"maximize_metric",0.72875,0.87719298245614,0.96875,0.76,0.86125,"COVID19","HC",0.56140350877193,"class","x",NA,1,31,19,6,1.28139397946481,0.24268814738718,"Sensitivity: 28",0.96875,0.76,-1.54403674624702,0.415486621334996,6.13815789473684,4.27771924681124,0.544457835540016,0.69690602949122,-1.23747486868682,1.28139397946481,"FN: 64","(0.8, Inf]"
"DKFZp686C02220","DKFZp686C02220",1.3004316339847,46.6214362246059,1.44,">=",-0.0757566483613335,"maximize_metric",0.37625,0.684210526315789,0.65625,0.72,0.66125,"COVID19","HC",0.56140350877193,"class","x",NA,11,21,18,7,2.11811717849346,-0.0927093981042675,"Sensitivity: 28",0.65625,0.72,-1.64910829566622,0.415295616085251,5.92063492063492,4.42515851874424,0.583916275722368,0.747412832924631,-1.03126522406197,2.11811717849346,"FN: 64","(0.8, Inf]"
"DKFZp686K03196","DKFZp686K03196",2.58186924361912,99.8334088282952,1.13,">=",-0.0992981680335594,"maximize_metric",0.8575,0.929824561403509,0.9375,0.92,0.895,"COVID19","HC",0.56140350877193,"class","x",NA,2,30,23,2,0.882954360879742,0.0188430878014799,"Sensitivity: 28",0.9375,0.92,-2.78153136829135,0.168510757829463,15.0706521739131,7.75211872528519,0.401863348993778,0.514385086712035,-1.98267306355399,0.882954360879742,"FN: 64","(0.8, Inf]"
"IGK@","IGK@",0.220201341566899,11.5660827443379,0.98,"<=",-0.238602637912985,"maximize_metric",0.15,0.596491228070175,0.75,0.4,0.5375,"COVID19","HC",0.56140350877193,"class","x",NA,8,24,10,15,0.285294933002135,0.628608659422374,"Neither: 73",0.75,0.4,0.434007435220967,0.730662572784808,4.18333333333333,5.12831954002354,0.95772899776336,1.2258931171371,0.922278509853736,0.285294933002135,"FP: 7","(-0.8,0.8]"
"PGLYRP2","PGLYRP2",2.56841275333679,116.535108430985,1.3,"<=",0.150267685550921,"maximize_metric",0.56375,0.789473684210526,0.84375,0.72,0.79875,"COVID19","HC",0.56140350877193,"class","x",NA,5,27,18,7,1.56030171247436,0.158605030176639,"Sensitivity: 28",0.84375,0.72,-1.42490253167633,0.446197458009281,5.61507936507936,4.1774967258641,0.581232980851234,0.743978215489579,-1.04528811192178,1.56030171247436,"FN: 64","(0.8, Inf]"
"SPEN","SPEN",0.701067263082307,24.999458995219,0.81,">=",0.0738748779180898,"maximize_metric",0.3275,0.666666666666667,0.6875,0.64,0.64875,"COVID19","HC",0.56140350877193,"class","x",NA,10,22,16,9,-0.392052418592486,0.0715936531870088,"Neither: 73",0.6875,0.64,-0.296455858373086,0.526544672378833,4.109375,4.05176772233681,0.770298046071637,0.985981498971695,-0.0572348657746906,-0.392052418592486,"Neither: 60","(-0.8,0.8]"
"SERPINF2","SERPINF2",0.230935444249244,122.147718194821,0.82,"<=",-0.391719978587669,"maximize_metric",0.3175,0.631578947368421,0.4375,0.88,0.57625,"COVID19","HC",0.56140350877193,"class","x",NA,18,14,22,3,-0.352208456733979,-0.698845201674583,"Neither: 73",0.4375,0.88,-1.58777272130241,0.218515898922975,8.17424242424242,5.26253490397847,0.502964700623521,0.643794816798107,-1.45431781954751,-0.352208456733979,"FN: 64","(-0.8,0.8]"
"IGHA2","IGHA2",0.951481053121625,28.1859177050542,0.98,"<=",-0.174535459850262,"maximize_metric",0.345,0.666666666666667,0.625,0.72,0.65,"COVID19","HC",0.56140350877193,"class","x",NA,12,20,18,7,0.285294933002135,-0.141499562273699,"Neither: 73",0.625,0.72,-0.912432213985153,0.431958421786425,4.91666666666667,4.06438007992597,0.645823105920441,0.826653575578164,-0.707740386384648,0.285294933002135,"Neither: 60","(-0.8,0.8]"
"ACTB","ACTB",1.35718673372877,63.9554094750847,1.13,">=",-0.220111920945589,"maximize_metric",0.42125,0.719298245614035,0.78125,0.64,0.6625,"COVID19","HC",0.56140350877193,"class","x",NA,7,25,16,9,0.882954360879742,0.199427024696894,"Sensitivity: 28",0.78125,0.64,-0.766196130424414,0.533425738972021,4.49826388888889,3.98303790624813,0.691766521733562,0.885461147818959,-0.467640286028609,0.882954360879742,"Neither: 60","(0.8, Inf]"
"IgH","IgH",0.765073430296714,54.9479561647151,1.04,">=",-0.115626340212261,"maximize_metric",0.43875,0.719298245614035,0.71875,0.72,0.655,"COVID19","HC",0.56140350877193,"class","x",NA,9,23,18,7,0.524358704153178,-0.00173761989854074,"Neither: 73",0.71875,0.72,-1.00852039855225,0.441955957386942,5.04761904761905,4.07346998182334,0.630475159332917,0.807008203946134,-0.787948691551001,0.524358704153178,"Neither: 60","(-0.8,0.8]"
"C4B","C4B",-0.180444875186161,82.850917770736,1.43,">=",0.146128125790481,"maximize_metric",0.20625,0.578947368421053,0.40625,0.8,0.54375,"COVID19","HC",0.56140350877193,"class","x",NA,19,13,20,5,2.07827321663496,-0.67764299402398,"Sensitivity: 28",0.40625,0.8,-2.17430439053166,0.286456894973269,7.8625,5.79085557238018,0.575402978177681,0.736515812067432,-1.07575568169695,2.07827321663496,"FN: 64","(0.8, Inf]"
"TF","TF",-0.61464996176432,54.4734062459272,0.68,">=",-0.0978535023834328,"maximize_metric",0.1575,0.56140350877193,0.4375,0.72,0.475,"COVID19","HC",0.56140350877193,"class","x",NA,18,14,18,7,-0.910023922753079,-0.498174506212432,"Specificity: 30",0.4375,0.72,-0.431991291149676,0.42007002265159,4.26190476190476,3.89491459948595,0.713977012824764,0.913890576415698,-0.351568351768301,-0.910023922753079,"Neither: 60","(-Inf,-0.8]"
"GC","GC",2.07078187306118,46.7434792914379,0.43,"<=",-0.185310796988589,"maximize_metric",0.63,0.807017543859649,0.75,0.88,0.81,"COVID19","HC",0.56140350877193,"class","x",NA,8,24,22,3,-1.90612296921576,-0.159848700941896,"Specificity: 30",0.75,0.88,-0.71101492729552,0.314656279939085,5.36742424242424,3.65739184445908,0.532347966068938,0.681405396568241,-1.30076099628192,-1.90612296921576,"FN: 64","(-Inf,-0.8]"
